,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Zero-Shot,Unnamed: 5,One-Shot,Unnamed: 6,Few-Shot,Unnamed: 7,Unnamed: 8
0,,,,Fine-tune,,,,,,,,175B
1,Name Metric,,Split,SOTA,K,Small Med Large XL 2.7B 6.7B 13B 175B,,Small Med Large XL 2.7B 6.7B 13B 175B,,Small Med Large XL 2.7B 6.7B 13B 175B,,(test server)
31,SQuADv2 f1,,dev,93.0,16,28.3 40.2 41.4 50.3 51.0 52.7 56.3 59.5,,30.1 43.6 44.1 54.0 54.1 57.1 61.8 65.4,,32.1 45.5 44.9 58.7 55.9 62.1 67.7 69.8,,
32,CoQA f1,,dev,90.7,5,34.5 55.0 61.8 65.3 71.1 72.8 76.3 81.5,,30.6 52.1 61.6 66.1 71.8 75.1 77.9 84.0,,31.1 52.0 62.7 66.8 73.2 77.3 79.9 85.0,,
33,DROP f1,,dev,89.1,20,9.40 13.6 14.4 16.4 19.7 17.0 24.0 23.6,,11.7 18.1 20.9 23.0 26.4 27.3 29.2 34.3,,12.9 18.7 24.0 25.6 29.7 29.7 32.3 36.5,,
34,BoolQ acc,,dev,91.0,32,49.7 60.3 58.9 62.4 67.1 65.4 66.2 60.5,,52.6 61.7 60.4 63.7 68.4 68.7 69.0 76.7,,43.1 60.6 62.0 64.1 70.3 70.0 70.2 77.5,,76.4
35,CB acc,,dev,96.9,32,0.00 32.1 8.93 19.6 19.6 28.6 19.6 46.4,,55.4 53.6 53.6 48.2 57.1 33.9 55.4 64.3,,42.9 58.9 53.6 69.6 67.9 60.7 66.1 82.1,,75.6
36,CB f1,,dev,93.9,32,0.00 29.3 11.4 17.4 22.4 25.1 20.3 42.8,,60.1 39.8 45.6 37.5 45.7 28.5 44.6 52.5,,26.1 40.4 32.6 48.3 45.7 44.6 46.0 57.2,,52.0
37,Copa acc,,dev,94.8,32,66.0 68.0 73.0 77.0 76.0 80.0 84.0 91.0,,62.0 64.0 66.0 74.0 76.0 82.0 86.0 87.0,,67.0 64.0 72.0 77.0 83.0 83.0 86.0 92.0,,92.0
38,RTE acc,,dev,92.5,32,47.7 49.8 48.4 56.0 46.6 55.2 62.8 63.5,,53.1 47.3 49.5 49.5 54.9 54.9 56.3 70.4,,52.3 48.4 46.9 50.9 56.3 49.5 60.6 72.9,,69.0
39,WiC acc,,dev,76.1,32,0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,,50.0 50.3 50.3 49.2 49.4 50.3 50.0 48.6,,49.8 55.0 53.0 53.0 51.6 53.1 51.1 55.3,,49.4
40,WSC acc,,dev,93.8,32,59.6 56.7 65.4 61.5 66.3 60.6 64.4 65.4,,58.7 58.7 60.6 62.5 66.3 60.6 66.3 69.2,,58.7 60.6 54.8 49.0 62.5 67.3 75.0 75.0,,80.1
41,MultiRC acc,,dev,62.3,32,4.72 9.65 12.3 13.6 14.3 18.4 24.2 27.6,,4.72 9.65 12.3 13.6 14.3 18.4 24.2 27.6,,6.09 11.8 16.8 20.8 24.7 23.8 25.0 32.5,,30.5
42,MultiRC f1a,,dev,88.2,32,57.0 59.7 60.4 59.9 60.0 64.5 71.4 72.9,,57.0 59.7 60.4 59.9 60.0 64.5 71.4 72.9,,45.0 55.9 64.2 65.4 69.5 66.4 69.3 74.8,,75.4
43,ReCoRD acc,,dev,92.5,32,70.8 78.5 82.1 84.1 86.2 88.6 89.0 90.2,,69.8 77.0 80.7 83.0 85.9 88.0 88.8 90.2,,69.8 77.2 81.3 83.1 86.6 87.9 88.9 89.0,,90.2
44,ReCoRD f1,,dev,93.3,32,71.9 79.2 82.8 85.2 87.3 89.5 90.4 91.0,,70.7 77.8 81.6 83.9 86.8 88.8 89.7 91.2,,70.7 77.9 82.1 84.0 87.5 88.8 89.8 90.1,,91.1
45,SuperGLUE average,,dev,89.0,,40.6 47.4 46.8 49.6 50.1 52.3 54.4 58.2,,54.4 55.1 56.7 57.8 61.2 59.7 64.3 68.9,,50.2 56.2 56.8 60.0 64.3 63.6 66.9 73.2,,71.8
46,ANLI R1 acc,,test,73.8,50,33.4 34.2 33.4 33.4 34.2 32.3 33.2 34.6,,32.1 31.6 31.9 34.6 30.6 31.6 32.7 32.0,,32.1 32.5 30.9 32.5 33.5 33.1 33.3 36.8,,
47,ANLI R2 acc,,test,50.7,50,33.2 31.9 33.3 33.3 33.8 33.5 33.5 35.4,,35.7 33.7 33.2 32.7 32.7 33.9 33.9 33.9,,35.7 33.8 32.1 31.4 32.6 33.3 32.6 34.0,,
48,ANLI R3 acc,,test,48.3,50,33.6 34.0 33.8 33.4 35.3 34.8 34.4 34.5,,35.0 32.6 33.0 33.9 34.1 33.1 32.5 35.1,,35.0 34.4 35.1 36.0 32.7 33.9 34.5 40.2,,
49,2D+ acc,,n/a,,50,0.70 0.65 0.70 0.85 1.10 2.54 15.4 76.9,,2.00 0.55 3.15 4.00 12.1 19.6 73.0 99.6,,2.00 4.10 3.50 4.50 8.90 11.9 55.5 100.0,,
50,2D- acc,,n/a,,50,1.25 1.25 1.25 1.25 1.60 7.60 12.6 58.0,,1.15 0.95 1.45 1.95 3.85 11.5 44.6 86.4,,1.15 1.45 2.25 2.70 7.35 13.6 52.4 98.9,,
51,3D+ acc,,n/a,,50,0.10 0.10 0.05 0.10 0.10 0.25 1.40 34.2,,0.15 0.00 0.10 0.30 0.45 0.95 15.4 65.5,,0.15 0.45 0.30 0.55 0.75 0.90 8.40 80.4,,
52,3D- acc,,n/a,,50,0.05 0.05 0.05 0.05 0.05 0.45 1.35 48.3,,0.05 0.15 0.25 0.30 0.55 1.60 6.15 78.7,,0.05 0.10 0.15 0.35 0.65 1.05 9.20 94.2,,
53,4D+ acc,,n/a,,50,0.05 0.05 0.00 0.00 0.05 0.05 0.15 4.00,,0.00 0.00 0.10 0.00 0.00 0.10 0.80 14.0,,0.00 0.05 0.05 0.00 0.15 0.15 0.40 25.5,,
54,4D- acc,,n/a,,50,0.00 0.00 0.00 0.00 0.00 0.00 0.10 7.50,,0.00 0.00 0.00 0.00 0.05 0.00 0.50 14.0,,0.00 0.05 0.00 0.00 0.10 0.05 0.40 26.8,,
55,5D+ acc,,n/a,,50,0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.65,,0.00 0.00 0.00 0.00 0.00 0.00 0.05 3.45,,0.00 0.00 0.00 0.00 0.00 0.00 0.05 9.30,,
56,5D- acc,,n/a,,50,0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.80,,0.00 0.00 0.00 0.00 0.00 0.00 0.05 3.75,,0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.90,,
57,2Dx acc,,n/a,,50,2.20 2.25 2.65 2.10 2.55 5.80 6.15 19.8,,1.35 2.35 3.35 2.35 4.75 9.15 11.0 27.4,,1.35 2.90 2.70 2.85 4.25 6.10 7.05 29.2,,
58,1DC acc,,n/a,,50,1.25 2.95 2.75 0.05 0.30 2.35 0.75 9.75,,1.90 2.80 2.85 3.65 6.45 9.15 8.20 14.3,,1.70 2.15 3.90 5.75 6.20 7.60 9.95 21.3,,
59,Cycled Letters acc,,n/a,,100,0.62 0.71 2.85 0.00 0.63 1.35 2.58 3.66,,1.67 4.36 5.68 6.46 6.25 9.41 15.1 21.7,,4.63 9.27 10.7 14.5 16.7 21.9 27.7 37.9,,
60,Anagrams 1 acc,,n/a,,100,0.10 0.14 0.40 0.00 0.27 0.69 1.16 2.28,,0.21 0.61 1.12 1.27 1.60 2.72 3.72 8.62,,0.50 1.27 2.13 3.05 3.81 5.49 8.38 15.1,,
61,Anagrams 2 acc,,n/a,,100,0.81 1.21 2.69 0.01 1.71 3.75 4.53 8.91,,1.19 2.62 4.70 4.77 6.97 10.2 14.6 25.9,,1.94 4.80 7.59 9.87 12.6 18.9 25.6 39.7,,
62,Symbol Insertion acc,,n/a,,100,0.00 0.00 0.10 0.00 0.05 0.42 0.89 8.26,,0.03 0.05 0.57 1.18 1.67 3.46 6.62 45.4,,0.11 0.28 2.19 4.18 6.61 11.0 27.3 67.2,,
63,Reversed Words acc,,n/a,,100,0.00 0.01 0.01 0.01 0.02 0.03 0.03 0.09,,0.02 0.01 0.01 0.00 0.05 0.07 0.11 0.48,,0.00 0.05 0.00 0.17 0.24 0.30 0.42 0.44,,
64,SAT Analogies acc,,n/a,,20,35.6 39.0 45.2 44.1 50.0 49.2 52.7 53.7,,30.5 41.2 43.1 46.5 55.1 54.3 53.5 59.1,,30.5 40.4 42.8 40.6 48.4 51.9 53.5 65.2,,
